Internal ID,Name,Short name,URL name,Tags,Home page,Publication scheme,Disclosure log,Notes,Created at,Updated at,Version,Registrator e-mail,Regular e-mail
9942,Ockelbo kommun,,ockelbo_kommun,kommun gavleborg not_many_requests,https://www.ockelbo.se,,,,2019-03-25 22:07:45 +0100,2023-03-30 04:55:13 +0200,4,registrator@ockelbo.se,kommun@ockelbo.se
9943,Hofors kommun,,hofors_kommun,kommun gavleborg not_many_requests,https://www.hofors.se,,,,2019-03-25 22:07:45 +0100,2023-03-30 04:55:13 +0200,4,registrator@hofors.se,kommun@hofors.se
9944,Ovanåkers kommun,,ovanakers_kommun,kommun gavleborg not_many_requests,https://www.ovanaker.se,,,,2019-03-25 22:07:45 +0100,2023-03-30 04:55:13 +0200,4,registrator@ovanaker.se,kommun@ovanaker.se
9945,Nordanstigs kommun,,nordanstigs_kommun,kommun gavleborg not_many_requests,https://www.nordanstig.se,,,,2019-03-25 22:07:45 +0100,2025-01-14 04:55:45 +0100,4,registrator@nordanstig.se,kommun@nordanstig.se
9946,Ljusdals kommun,,ljusdals_kommun,kommun gavleborg not_many_requests,https://www.ljusdal.se,,,,2019-03-25 22:07:45 +0100,2023-10-07 04:55:18 +0200,4,registrator@ljusdal.se,kommun@ljusdal.se
9947,Gävle kommun,,gavle_kommun,kommun gavleborg not_many_requests,https://www.gavle.se,,,,2019-03-25 22:07:45 +0100,2025-01-22 04:55:31 +0100,4,registrator@gavle.se,kommun@gavle.se
9948,Sandvikens kommun,,sandvikens_kommun,kommun gavleborg not_many_requests,https://www.sandviken.se,,,,2019-03-25 22:07:45 +0100,2025-01-14 04:55:45 +0100,5,registrator@sandviken.se,kommun@sandviken.se
9949,Söderhamns kommun,,soderhamns_kommun,kommun gavleborg not_many_requests,https://www.soderhamn.se,,,,2019-03-25 22:07:46 +0100,2025-01-11 04:55:49 +0100,4,registrator@soderhamn.se,kommun@soderhamn.se
9950,Bollnäs kommun,,bollnas_kommun,kommun gavleborg not_many_requests,https://www.bollnas.se,,,,2019-03-25 22:07:46 +0100,2025-01-10 04:56:24 +0100,4,registrator@bollnas.se,kommun@bollnas.se
9951,Hudiksvalls kommun,,hudiksvalls_kommun,kommun vasternorrland not_many_requests,https://www.hudiksvall.se,,,,2019-03-25 22:07:46 +0100,2025-01-10 04:56:24 +0100,4,registrator@hudiksvall.se,kommun@hudiksvall.se
9952,Ånge kommun,,ange_kommun,kommun vasternorrland not_many_requests,https://www.ange.se,,,,2019-03-25 22:07:46 +0100,2025-08-01 04:55:07 +0200,4,registrator@ange.se,kommun@ange.se
9953,Timrå kommun,,timra_kommun,kommun vasternorrland not_many_requests,https://www.timra.se,,,,2019-03-25 22:07:46 +0100,2023-09-05 04:55:15 +0200,4,registrator@timra.se,kommun@timra.se
9954,Härnösands kommun,,harnosands_kommun,kommun vasternorrland,https://www.harnosand.se,,,,2019-03-25 22:07:46 +0100,2024-03-06 04:55:18 +0100,4,registrator@harnosand.se,kommun@harnosand.se
9955,Sundsvalls kommun,,sundsvalls_kommun,kommun vasternorrland,https://www.sundsvall.se,,,,2019-03-25 22:07:46 +0100,2024-02-03 04:55:20 +0100,4,registrator@sundsvall.se,kommun@sundsvall.se
9956,Kramfors kommun,,kramfors_kommun,kommun vasternorrland not_many_requests,https://www.kramfors.se,,,,2019-03-25 22:07:46 +0100,2023-03-30 04:55:13 +0200,4,registrator@kramfors.se,kommun@kramfors.se
9957,Sollefteå kommun,,solleftea_kommun,kommun vasterbotten not_many_requests,https://www.solleftea.se,,,,2019-03-25 22:07:46 +0100,2025-01-11 04:55:49 +0100,4,registrator@solleftea.se,kommun@solleftea.se
9958,Örnsköldsviks kommun,,ornskoldsviks_kommun,kommun vasternorrland not_many_requests,https://www.ornskoldsvik.se,,,,2019-03-25 22:07:46 +0100,2023-03-30 04:55:13 +0200,4,registrator@ornskoldsvik.se,kommun@ornskoldsvik.se
9959,Ragunda kommun,,ragunda_kommun,kommun jamtlandharjedalen not_many_requests,https://www.ragunda.se,,,,2019-03-25 22:07:46 +0100,2025-01-14 04:55:45 +0100,4,registrator@ragunda.se,kommun@ragunda.se
9960,Bräcke kommun,,bracke_kommun,kommun jamtland not_many_requests,https://www.bracke.se,,,,2019-03-25 22:07:46 +0100,2025-01-10 04:56:24 +0100,4,registrator@bracke.se,kommun@bracke.se
9961,Krokoms kommun,,krokoms_kommun,kommun jamtland not_many_requests,https://www.krokom.se,,,,2019-03-25 22:07:47 +0100,2023-03-30 04:55:13 +0200,4,registrator@krokom.se,kommun@krokom.se
